abase,"to humiliate, degrade"
abate,"to reduce, lessen"
abdicate,"to give up a position, usually one of leadership"
abduct,"to kidnap, take by force"
aberration,something that differs from the norm
abet,"to aid, help, encourage"
abhor,"to hate, detest"
abide,to put up with
abject,"wretched, pitiful"
abjure,"to reject, renounce"
abnegation,denial of comfort to oneself
abort,to give up on a half-finished project or effort
abridge,"to cut down, shorten"
abrogate,"to abolish, usually by authority"
abscond,to sneak away and hide
absolution,"freedom from blame, guilt, sin"
abstain,to freely choose not to commit an action
abstruse,hard to comprehend
accede,to agree
accentuate,"to stress, highlight"
accessible,"obtainable, reachable"
acclaim,high praise
accolade,"high praise, special distinction"
accommodating,"helpful, obliging, polite"
accord,an agreement
accost,to confront verbally
accretion,slow growth in size or amount
acerbic,"biting, bitter in tone or taste"
acquiesce,to agree without protesting
acrimony,"bitterness, discord"
acumen,keen insight
acute,"sharp, severe"
adamant,"impervious, immovable, unyielding"
adept,extremely skilled
adhere,to stick to something
admonish,"to caution, criticize, reprove"
adorn,to decorate
adroit,"skillful, dexterous"
adulation,extreme praise
adumbrate,to sketch out in a vague way
adverse,"antagonistic, unfavorable, dangerous"
advocate,to argue in favor of something
aerial,somehow related to the air
aesthetic,"artistic, related to the appreciation of beauty"
affable,"friendly, amiable"
affinity,a spontaneous feeling of closeness
affluent,"rich, wealthy"
affront,an insult
aggrandize,to increase or make greater
aggregate,a whole or total
aggrieved,"distressed, wronged, injured"
agile,"quick, nimble"
agnostic,believing that the existence of God cannot be proven or disproven
agriculture,farming
aisle,a passageway between rows of seats
alacrity,"eagerness, speed"
alias,a false name or identity
allay,"to soothe, ease"
allege,"to assert, usually without proof"
alleviate,"to relieve, make more bearable"
allocate,"to distribute, set aside"
aloof,"reserved, distant"
altercation,"a dispute, fight"
amalgamate,"to bring together, unite"
ambiguous,"uncertain, variably interpretable"
ambivalent,having opposing feelings
ameliorate,to improve
amenable,"willing, compliant"
amenity,an item that increases comfort
amiable,friendly
amicable,friendly
amorous,"showing love, particularly sexual"
amorphous,without definite shape or type
anachronistic,being out of correct chronological order
analgesic,something that reduces pain
analogous,"similar to, so that an analogy can be drawn"
anarchist,one who wants to eliminate all government
anathema,"a cursed, detested person"
anecdote,"a short, humorous account"
anesthesia,loss of sensation
anguish,"extreme sadness, torment"
animated,lively
annex,to incorporate territory or space
annul,to make void or invalid
anomaly,something that does not fit into the normal order
anonymous,"being unknown, unrecognized"
antagonism,hostility
antecedent,something that came before
antediluvian,ancient
anthology,"a selected collection of writings, songs, etc."
antipathy,"a strong dislike, repugnance"
antiquated,"old, out of date"
antiseptic,"clean, sterile"
antithesis,the absolute opposite
anxiety,intense uneasiness
apathetic,"lacking concern, emotion"
apocryphal,"fictitious, false, wrong"
appalling,"inspiring shock, horror, disgust"
appease,"to calm, satisfy"
appraise,to assess the worth or value of
apprehend,"to seize, arrest"
approbation,praise
appropriate,"to take, make use of"
aquatic,relating to water
arable,suitable for growing crops
arbiter,"one who can resolve a dispute, make a decision"
arbitrary,based on factors that appear random
arbitration,the process or act of resolving a dispute
arboreal,of or relating to trees
arcane,"obscure, secret, known only by a few"
archaic,"of or relating to an earlier period in time, outdated"
archetypal,the most representative or typical example of something
ardor,"extreme vigor, energy, enthusiasm"
arid,excessively dry
arrogate,to take without justification
artifact,a remaining piece from an extinct culture or place
artisan,a craftsman
ascertain,"to perceive, learn"
ascetic,"practicing restraint as a means of self-discipline, usually religious"
ascribe,"to assign, credit, attribute to"
aspersion,"a curse, expression of ill-will"
aspire,"to long for, aim toward"
assail,to attack
assess,to evaluate
assiduous,"hard-working, diligent"
assuage,"to ease, pacify"
astute,"very clever, crafty"
asylum,"a place of refuge, protection, a sanctuary"
atone,"to repent, make amends"
atrophy,"to wither away, decay"
attain,"to achieve, arrive at"
attribute,"to credit, assign"
atypical,"not typical, unusual"
audacious,excessively bold
audible,able to be heard
augment,"to add to, expand"
auspicious,"favorable, indicative of good things"
austere,"very bare, bleak"
avarice,excessive greed
avenge,to seek revenge
aversion,a particular dislike for something
balk,"to stop, block abruptly"
ballad,a love song
banal,"dull, commonplace"
bane,a burden
bard,"a poet, often a singer as well"
bashful,"shy, excessively timid"
